Year,Month,Day,Longitude,Latitude,ProfileNumber,Dataset,DO_mean(umol/kg),DO_min(umol/kg),DO_max(umol/kg),Depth_min(m),Depth_max(m)
1980.0,2.0,26.0,144.0,39.4833,229549.0,WOD_OSD,162.16790008544922,46.8255500793457,262.4181823730469,0.0,1272.0
1980.0,2.0,27.0,140.97,31.45,229606.0,WOD_OSD,184.33014602661132,45.748497009277344,239.1992950439453,0.0,1660.0
1980.0,2.0,27.0,140.97,31.45,361505.0,Hydrobase3,185.79333333333335,49.0,239.2,0.0,1200.0
1980.0,2.0,27.0,140.97,31.98,229600.0,WOD_OSD,176.64522416251046,55.76959991455078,230.48529052734375,0.0,2392.0
1980.0,2.0,27.0,140.97,31.98,361506.0,Hydrobase3,212.43636363636367,82.8,230.1,0.0,2000.0
1980.0,2.0,27.0,141.0,29.5,229627.0,WOD_OSD,172.0081340244838,52.284000396728516,230.48529052734375,0.0,1594.0
1980.0,2.0,27.0,141.0,29.5,361507.0,Hydrobase3,160.4125,52.3,230.4,0.0,1500.0
1980.0,2.0,27.0,141.0,31.0,229614.0,WOD_OSD,186.27627080281576,48.362701416015625,246.60618591308594,0.0,1670.0
1980.0,2.0,27.0,141.0,31.0,361508.0,Hydrobase3,185.62,50.5,246.6,0.0,1200.0
1980.0,2.0,27.0,141.02,30.5,229620.0,WOD_OSD,179.53952162606376,47.927001953125,234.40660095214844,0.0,1641.0
1980.0,2.0,27.0,141.02,30.5,361509.0,Hydrobase3,179.12857142857143,51.2,233.9,0.0,1200.0
1980.0,2.0,27.0,141.05,29.0,229633.0,WOD_OSD,173.22186960492814,47.05560302734375,230.48529052734375,0.0,1818.0
1980.0,2.0,27.0,141.05,29.0,361510.0,Hydrobase3,187.82142857142858,50.7,230.3,0.0,1300.0
1980.0,2.0,27.0,141.05,30.02,229624.0,WOD_OSD,181.14867939668542,48.362701416015625,226.99969482421875,0.0,1657.0
1980.0,2.0,27.0,141.05,30.02,361511.0,Hydrobase3,182.21666666666667,49.0,227.0,0.0,1200.0
1980.0,2.0,28.0,141.05,28.48,229640.0,WOD_OSD,169.08511352539062,55.333900451660156,226.99969482421875,0.0,1688.0
1980.0,2.0,28.0,141.05,28.48,361552.0,Hydrobase3,161.62727272727273,55.4,225.3,0.0,1500.0
1980.0,2.0,29.0,142.6667,30.0,229687.0,WOD_OSD,215.32294006347655,210.87879943847656,218.28570556640625,0.0,200.0
1980.0,2.0,29.0,142.67,30.0,361581.0,Hydrobase3,215.24444444444444,210.8,218.2,0.0,200.0
1980.0,2.0,29.0,146.33,39.0,361582.0,Hydrobase3,249.82222222222222,233.2,261.1,0.0,300.0
1980.0,2.0,29.0,146.3333,39.0,229695.0,WOD_OSD,226.75071825299943,82.78299713134766,260.1128845214844,0.0,513.0
1980.0,2.0,29.0,147.6167,39.0,229707.0,WOD_OSD,237.0208009992327,69.27629852294922,298.4544982910156,0.0,492.0
1980.0,2.0,29.0,147.62,39.0,361583.0,Hydrobase3,268.65714285714284,254.0,274.9,0.0,250.0
1980.0,3.0,1.0,148.88,39.0,361625.0,Hydrobase3,241.0,216.2,261.2,0.0,250.0
1980.0,3.0,1.0,148.8833,39.0,229719.0,WOD_OSD,182.62054116385323,57.076698303222656,243.9919891357422,0.0,873.0
1980.0,3.0,3.0,151.4667,39.0,229792.0,WOD_OSD,229.98735700334822,98.03250122070312,271.0054016113281,0.0,589.0
1980.0,3.0,3.0,151.47,39.0,361695.0,Hydrobase3,261.32222222222225,237.5,270.2,0.0,300.0
1980.0,3.0,3.0,152.73,39.0,361697.0,Hydrobase3,232.95555555555555,185.3,261.2,0.0,300.0
1980.0,3.0,3.0,152.7333,39.0,229797.0,WOD_OSD,204.09432656424386,81.9115982055664,248.34898376464844,0.0,580.0
1980.0,3.0,4.0,141.03,29.9,361754.0,Hydrobase3,232.32222222222222,228.3,235.7,0.0,200.0
